,recall@k,recall@k,recall@k,mrr@k,mrr@k,mrr@k,ndcg@k,ndcg@k,ndcg@k
dataset,fiqa,nfcorpus,scifact,fiqa,nfcorpus,scifact,fiqa,nfcorpus,scifact
retriever,,,,,,,,,
bm25,0.27738584717751386,0.15274574004769703,0.7878333333333333,0.2687267293748775,0.5216435697085852,0.623494708994709,0.21765966427710615,0.30973583332264637,0.6581795768118335
dense,0.44581761260002,0.1545709675933809,0.786,0.4434940231236527,0.5057152685635657,0.6068690476190476,0.3696732776077518,0.31462396626377104,0.6469948146747088
hybrid,0.4474641270937567,0.16996410608588888,0.8260000000000001,0.4330112188908485,0.5547275050371026,0.6752010582010582,0.36495281943234475,0.3441766694190982,0.708228453857007
