dataset,retriever,recall@k,mrr@k,ndcg@k,n_queries,elapsed_s
nfcorpus,bm25,0.15274574004769703,0.5216435697085852,0.30973583332264637,323,0.5975651741027832
nfcorpus,dense,0.1545709675933809,0.5057152685635657,0.31462396626377104,323,2.9058728218078613
nfcorpus,hybrid,0.16996410608588888,0.5547275050371026,0.3441766694190982,323,3.0258049964904785
scifact,bm25,0.7878333333333333,0.623494708994709,0.6581795768118335,300,0.7638938426971436
scifact,dense,0.786,0.6068690476190476,0.6469948146747088,300,3.1145148277282715
scifact,hybrid,0.8260000000000001,0.6752010582010582,0.708228453857007,300,3.1602139472961426
fiqa,bm25,0.27738584717751386,0.2687267293748775,0.21765966427710615,648,3.7194504737854004
fiqa,dense,0.44581761260002,0.4434940231236527,0.3696732776077518,648,7.176604747772217
fiqa,hybrid,0.4474641270937567,0.4330112188908485,0.36495281943234475,648,8.685301065444946
